Name,Globals,GDist,GSize,GCons,GPtr,Locals,LDist,LSize,LCons,LPtr,Returns,RDist,RSize,RCons,RPtr,Params,PDist,PSize,PCons,PPtr,Total,Dist,Size,Cons,AvgDist,AvgSize,AvgCons,AvgPtr
Fractals.exe,4,2.0,8.0,4.0,4.0,10,0.0,0.0,10.0,10.0,0,0,0,0,0,13,1.0,12.0,13.0,12.3333333333,27,3.0,20.0,27.0,26.3333333333,0.111111111111,0.740740740741,1.0,0.975308641975
Lorenz.exe,0,0,0,0,0,11,0.0,2.0,11.0,11.0,0,0,0,0,0,9,1.0,10.0,9.0,9.0,20,1.0,12.0,20.0,20.0,0.05,0.6,1.0,1.0
Shareaza.exe,33,58.3375,61.0,29.0,33.0,8070,1784.1375,3727.0,7890.0,7680.66666667,1471,1255.0,3551.0,1440.0,590.5,3838,3206.875,4262.0,3364.0,2832.0,13412,6304.35,11601.0,12723.0,11136.1666667,0.470052937668,0.864971667164,0.948628094244,0.830313649468
TinyCad.exe,18,16.0,36.0,18.0,16.0,5747,320.292207792,967.0,5720.0,5658.5,1617,1477.0,4001.0,1600.0,561.833333333,3607,1780.0,3838.0,3435.0,2608.5,10989,3593.29220779,8842.0,10773.0,8844.83333333,0.326989917899,0.804622804623,0.980343980344,0.804880638214
Tutorial00.exe,0,0,0,0,0,3,0.0,0.0,3.0,3.0,2,0.0,4.0,2.0,2.0,9,2.0,12.0,9.0,7.0,14,2.0,16.0,14.0,12.0,0.142857142857,1.14285714286,1.0,0.857142857143
XMail.exe,47,51.2704060872,86.0,38.0,45.0,2136,373.341269841,2148.0,2105.0,2083.66666667,352,246.0,708.0,344.0,334.0,2346,400.25,1084.0,2267.0,2173.25,4881,1070.86167593,4026.0,4754.0,4635.91666667,0.21939391025,0.824830977259,0.973980741651,0.949788294748
decode_to_md5.exe,21,26.3666666667,34.0,17.0,21.0,520,217.0,431.0,492.0,479.0,0,0,0,0,0,922,461.25,1328.0,900.0,787.333333333,1463,704.616666667,1793.0,1409.0,1287.33333333,0.481624515835,1.22556390977,0.963089542037,0.879927090453
decode_with_drops.exe,20,23.1166666667,32.0,17.0,20.0,514,215.0,428.0,486.0,473.0,0,0,0,0,0,916,461.25,1328.0,894.0,781.333333333,1450,699.366666667,1788.0,1397.0,1274.33333333,0.48232183908,1.23310344828,0.963448275862,0.878850574713
distributer.exe,16,12.5,32.0,16.0,8.0,88,29.4090909091,85.0,83.0,88.0,0,0,0,0,0,44,32.0,57.0,41.0,37.0,148,73.9090909091,174.0,140.0,133.0,0.499385749386,1.17567567568,0.945945945946,0.898648648649
error_resilient.exe,31,32.25,57.0,28.0,31.0,1409,936.6875,1634.0,1244.0,1260.0,0,0,0,0,0,1881,725.5,2281.0,1820.0,1633.83333333,3321,1694.4375,3972.0,3092.0,2924.83333333,0.510219060524,1.19602529359,0.931044866004,0.880708621901
example_xma.exe,23,26.7833333333,38.0,19.0,22.0,516,215.0,428.0,488.0,475.0,0,0,0,0,0,916,460.25,1325.0,894.0,782.333333333,1455,702.033333333,1791.0,1401.0,1279.33333333,0.482497136312,1.23092783505,0.962886597938,0.879266895762
